id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,Amen,twitter,neutral,0.5,Normal,2,0,0,2
#######,#######,#######,I love how hopeful you are,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,The perfect sunset,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,Awesome couple.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,😂😂💯When I see this I see pranks,instagram,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,done,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,I love me some healthy fruits all the way!!,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,Good to see you.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,Maybe eating salad was the problem,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,"yooooo,this is a hit and very nice",instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,🤣🤣🤣 men,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,"creative and talented plus entertaining,i love thi",instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"Moses, Joseph Elijah",twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Beautiful image .,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,amazing dance moves,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,wonderful,instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,You are great and awesome sir.,twitter,positive,0.7,Normal,4,4,0,2
#######,#######,#######,Love this!,instagram,positive,0.6,Normal,3,3,0,3
#######,#######,#######,The vibe here is pure growth!,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,😂😂 I stopped at 1.,instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,goodluck to everyone,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,juquinha amor da minha vida apenas,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,Vini is a great guy,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,he is very good baller,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,amen. thank you,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,pretty😍,instagram,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,🤣🤣,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,"Unlike the rest of them, I got nothing else left to prove.",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,God is good,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,"veery true, the entire state and it's bodies",twitter,negative,0.85,Hate Speech,9,0,9,1
#######,#######,#######,yes 🗣️🗣️🗣️,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,ouch,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,im sorry,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,"No matter how today started, you can still choose positivity. Shine anyway. ✨🌞",twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,I had no idea that photo mode could do this,instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,naked truth though🥲🥲,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,I had no idea Sammy had this kind of longevity. My earliest reference to him was through the Rat Pack. Iconic.,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,✊✊,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,$10000,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,what ever girl,instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Looking good and cool,twitter,positive,0.7,Normal,4,4,0,2
#######,#######,#######,i also want that feeling,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,useful prayer. Thanks,twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,😂😂,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,Vini is feeling sad with Rodrygo somewhere in the corner,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,very nice,instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,I game because a job application is complicated,instagram,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,beautiful,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,wow that is amazing,twitter,positive,0.6,Normal,3,3,0,6
